id,loan_status,int_rate,addr_state,num_actv_rev_tl,num_sats,emp_length,funded_amnt,last_pymnt_amnt,annual_inc,avg_cur_bal
1245,Charged Off,10.33,IN,9,12,10,21000,680.87,70000,15118
1246,Fully Paid,7.02,OH,4,12,1,30000,30083.36,72000,20943
1247,Charged Off,8.81,CA,9,16,1,10000,317.12,72000,5872
1248,Fully Paid,8.81,NY,3,4,5,10000,3827.44,70000,1246
1249,Fully Paid,20,KS,11,26,9,18000,17512.84,66000,5759
1250,Fully Paid,22.5,TX,3,14,2,1000,455.64,27000,10970
1251,Charged Off,7.56,MO,1,5,9,10000,0,72000,8873
1252,Fully Paid,17.19,OH,8,12,10,20000,20466.02,85000,3611
1253,Fully Paid,15.57,TX,3,7,1,20000,20053.46,80000,353
1254,Fully Paid,6.46,GA,4,7,1,8000,7855.39,56000,2172
1255,Charged Off,8.19,AZ,2,6,6,7500,235.69,43000,11422
1256,Charged Off,8.19,AZ,10,14,10,12000,1256.97,86000,24994
1257,Charged Off,16.4,IL,12,16,8,4800,169.71,85000,2805
1258,Fully Paid,14.74,TX,3,11,3,14400,6300.05,82000,19976
1259,Charged Off,17.19,CA,5,7,10,20000,714.95,98000,8985
1260,Fully Paid,18.94,NC,3,8,7,8000,8196.33,48000,3647
1261,Charged Off,15.57,CA,2,6,1,11200,269.81,88000,3
1262,Fully Paid,18.94,CA,2,6,6,3000,3011.52,28777.52,1584
1263,Fully Paid,7.56,NY,5,18,10,1500,1505.36,49600,17434
1264,Fully Paid,7.02,TX,4,13,8,10000,9847.41,72000,23582
1265,Fully Paid,11.8,NJ,4,21,9,12000,84.76,75000,15993
1266,Fully Paid,22.5,ND,8,13,1,32000,32107.2,45000,19905
1267,Fully Paid,20,GA,7,12,10,20000,20400,76677,25734
1268,Fully Paid,20.89,MO,6,12,3,12000,12252.46,91000,3232
1269,Charged Off,11.02,MO,3,6,3,10000,0,72000,13611
1270,Charged Off,13.08,CA,6,21,5,10000,227.95,54724.55,2879
1271,Fully Paid,28.8,MA,6,18,1,10000,10240.08,129999,16627
1272,Fully Paid,13.56,MD,3,5,5,15000,15029.95,52000,8873
1273,Charged Off,7.56,CA,3,11,10,20000,622.68,130000,8873
1274,Fully Paid,10.33,IL,5,10,10,9000,9013.69,70000,5497
1275,Charged Off,8.81,TX,2,4,3,10500,0,89676,8873
1276,Fully Paid,10.33,CA,7,12,4,30000,29963.15,58066,21020
1277,Fully Paid,11.02,CO,5,9,2,4500,498.35,50000,33345
1278,Fully Paid,14.74,TX,12,19,10,9000,8939.47,82000,12045
1279,Fully Paid,12.4,MA,3,7,10,12000,12230.16,67000,19379
1280,Fully Paid,28.9,NY,2,8,6,2000,2025.7,45000,3777
1281,Fully Paid,11.71,MS,4,10,10,16000,135.32,67000,13615
1282,Fully Paid,11.71,OH,3,11,3,12000,12020.22,35000,9554
1283,Fully Paid,16.14,TX,9,20,4,4800,4857.96,56000,5169
1284,Fully Paid,17.19,WI,4,12,10,14400,14740.85,50000,31897
1285,Fully Paid,16.4,RI,4,12,6,27000,27143.84,130000,21533
1286,Fully Paid,12.4,IL,2,3,10,16000,16225.22,116000,9904
1287,Charged Off,23.4,LA,1,6,10,21600,840.64,120000,33722
1288,Charged Off,10.33,IL,7,11,6,8400,272.35,43000,11311
1289,Fully Paid,8.19,WI,10,14,1,10000,10011.68,120000,1280
1290,Charged Off,12.4,NJ,6,14,8,26000,583.63,120000,40240
1291,Fully Paid,19.92,KY,4,10,7,12000,6418.44,30000,2908
1292,Fully Paid,8.19,TX,4,8,7,16000,3098.13,175000,44130
1293,Fully Paid,8.81,FL,7,8,10,15500,66.61,51000,3158
1294,Fully Paid,15.57,MO,6,10,6,12000,11632.62,29988,13015
1295,Fully Paid,16.4,CA,3,7,4,2800,2284.92,60000,689
1296,Fully Paid,20,MT,4,12,10,4800,4919.18,135000,26333
1297,Charged Off,12.98,PA,9,14,9,12000,1347.38,72000,8873
1298,Fully Paid,11.02,NY,3,15,1,15000,15164.95,140000,2316
1299,Fully Paid,7.02,GA,5,10,6,24000,24254.47,47688,13032
1300,Fully Paid,6.46,CO,8,17,4,2000,1965.1,44200,10932
1301,Fully Paid,20,MI,3,9,4,5000,5022.22,50000,11342
1302,Charged Off,7.02,CA,13,19,6,36000,1111.91,102000,39915
1303,Fully Paid,15.57,FL,9,18,1,35000,30053.82,72000,5696
1304,Fully Paid,12.4,NY,4,7,7,12000,6418.44,75000,8406
1305,Fully Paid,20,CO,0,2,1,30875,30984.09,88000,8873
1306,Fully Paid,12.4,TN,3,15,2,9500,9516.95,38750,2455
1307,Fully Paid,28.8,TX,3,5,9,1000,1032.49,110000,8873
1308,Fully Paid,8.19,DE,9,13,10,17500,17525.08,60000,1883
1309,Charged Off,7.56,MO,6,10,1,10000,0,72000,29884
1310,Fully Paid,7.02,CO,6,15,4,30000,29481.13,72000,38594
1311,Charged Off,7.56,IL,3,13,10,10000,0,176000,33975
1312,Fully Paid,17.19,CA,3,6,3,6000,6007.65,70000,4321
1313,Fully Paid,20.89,PA,3,7,10,6000,6011.13,65000,26220
1314,Fully Paid,12.4,NY,3,6,5,12000,12124,71000,4358
1315,Fully Paid,7.02,FL,2,15,10,12750,52.21,78000,10132
1316,Fully Paid,11.02,FL,4,11,10,19000,19029.6,65000,15378
1317,Fully Paid,16.4,NJ,6,12,6,10000,664.27,40000,16175
1318,Charged Off,22.5,TX,1,2,10,11000,306.95,53941.09,2034
1319,Fully Paid,17.97,NY,2,6,1,4250,4238.6,75000,5733
1320,Charged Off,14.74,MD,9,11,8,20000,0,120000,1558
1321,Charged Off,8.19,VA,3,5,10,35000,712.87,122000,6761
1322,Fully Paid,7.56,CA,5,10,1,20000,17491.75,73500,3880
1323,Fully Paid,15.02,OR,8,18,9,32900,32972.75,70000,3127
1324,Charged Off,17.19,OH,4,24,2,24000,598.92,128570,16467
1325,Charged Off,13.56,CT,4,10,6,32000,1086.86,150000,19889
1326,Fully Paid,7.56,NY,1,14,10,3100,3132.86,120000,31534
1327,Fully Paid,15.57,TX,3,5,10,3000,2991.19,53000,24068
1328,Fully Paid,7.56,NY,5,7,5,36000,36090.72,150000,1543
1329,Charged Off,12.98,NY,3,4,1,28000,0,80000,1805
1330,Charged Off,15.57,CA,3,8,6,16000,385.45,60000,6747
1331,Fully Paid,10.33,NY,6,9,10,9600,9717.6,55000,18516
1332,Charged Off,12.98,MO,11,16,1,30000,1010.53,186000,8672
1333,Fully Paid,11.31,CA,4,13,10,12000,38488,106000,25017
1334,Fully Paid,12.4,CA,2,5,6,4800,4885.13,13128,8873
1335,Charged Off,7.02,MD,5,14,6,19200,593.02,75200,10482
1336,Fully Paid,7.02,MN,2,11,7,8000,7883.86,69000,22445
1337,Fully Paid,20,OK,3,5,1,25000,25567.94,160000,8873
1338,Fully Paid,15.57,WA,4,8,6,8000,7981.97,85000,4021
1339,Charged Off,14.74,TX,5,6,10,35000,827.88,110000,9506
1340,Charged Off,17.19,AR,7,9,6,20000,499.1,45000,2466
1341,Fully Paid,11.02,IL,8,11,6,8000,8090.2,37500,683
1342,Fully Paid,11.71,OH,4,24,10,10000,10061.8,144000,3280
1343,Fully Paid,11.02,MN,5,11,10,4800,4882.82,65000,15003
1344,Fully Paid,29,UT,3,6,2,4800,4846.4,75000,5789
1345,Charged Off,29,PA,3,8,6,18075,17987.48,70944,16795
1346,Charged Off,13.9,GA,3,3,2,10000,0,66000,2119
1347,Fully Paid,14.47,FL,4,20,2,20000,20041.64,31616,4822
1348,Charged Off,7.56,UT,3,4,1,24000,747.22,72000,16644
1349,Fully Paid,8.81,IL,1,8,10,6500,6579.11,46000,11434
1350,Fully Paid,19.92,CO,3,6,6,26450,26753.33,16008,7634
1351,Fully Paid,14.47,LA,3,6,10,8000,7666.68,59000,5845
1352,Fully Paid,13.08,CA,3,6,8,8000,8037.79,55000,30523
1353,Fully Paid,14.74,TX,10,18,7,35000,35074.23,93000,11639
1354,Fully Paid,7.02,OH,8,14,10,5500,5256.33,38000,1317
1355,Charged Off,22.35,IL,2,4,10,20000,556.37,94000,11867
1356,Charged Off,20.89,UT,5,13,9,12000,323.9,85000,41061
1357,Charged Off,7.56,CA,2,6,10,10000,0,174000,49486
1358,Fully Paid,7.56,MI,4,15,1,15000,14767.53,50000,12305
1359,Fully Paid,15.02,NY,9,21,8,10000,10202.68,113000,24002
1360,Fully Paid,11.8,CA,13,17,10,5000,5070.21,60000,3312
1361,Charged Off,11.8,AZ,1,12,6,5000,165.6,20100,464
1362,Charged Off,10.33,TX,9,12,10,5300,171.84,75000,2820
1363,Fully Paid,11.02,TX,6,21,10,10000,9889.01,105000,15103
1364,Charged Off,11.8,CA,2,7,3,32500,0,128000,61
1365,Charged Off,13.9,CT,3,7,6,8000,0,24000,1471
1366,Fully Paid,10.33,FL,4,11,1,21000,20028.26,39384,12218
1367,Fully Paid,6.46,LA,4,10,2,10000,10026.92,100000,5706
1368,Fully Paid,8.81,FL,7,18,10,10000,17.13,75000,2199
1369,Charged Off,8.81,TX,6,10,8,9500,0,78505,13087
1370,Fully Paid,17.97,OR,3,10,1,20000,20051.71,60000,4711
1371,Charged Off,8.81,MO,5,10,3,10000,0,72000,23908
1372,Fully Paid,11.8,CA,4,21,5,12000,6418.44,72000,22693
1373,Charged Off,11.8,MO,2,5,1,10000,0,72000,8873
1374,Fully Paid,15.57,MI,6,7,8,10000,9924.11,77000,1207
1375,Charged Off,12.4,PA,4,13,10,15000,501.09,124000,7843
1376,Fully Paid,14.47,CT,3,4,6,26000,26156.76,30000,697
1377,Fully Paid,7.56,IN,0,12,1,23000,23029.7,95000,15101
1378,Fully Paid,15.02,CA,11,18,10,19600,20029.24,72000,8873
1379,Fully Paid,17.19,OH,10,10,10,16000,16039.58,55000,2725
1380,Fully Paid,27.27,TX,3,7,10,32000,2292.42,112000,8873
1381,Charged Off,12.98,MA,10,15,1,32000,1077.9,104000,3516
1382,Fully Paid,8.81,WI,3,17,2,6000,6038.18,41000,9307
1383,Fully Paid,17.19,CA,5,15,10,20000,20436.03,140000,36221
1384,Fully Paid,16.91,CA,7,12,1,30000,30281.83,80000,17661
1385,Fully Paid,8.19,RI,3,5,7,14000,14099.64,52000,10043
1386,Charged Off,16.14,MA,4,7,1,15000,365.89,80000,8873
1387,Charged Off,24.37,NV,4,5,4,5200,205.03,63000,251
1388,Fully Paid,22.35,CA,4,14,10,5775,5886.07,96500,32695
1389,Charged Off,22.35,FL,8,15,1,35000,973.64,101400,25427
1390,Fully Paid,23.4,KS,6,9,6,1200,1206.24,80000,2244
1391,Fully Paid,16.14,OH,3,10,2,13000,12949.24,70000,6762
1392,Charged Off,22.35,LA,5,14,10,25000,0,180000,13755
1393,Charged Off,16.91,MA,6,13,6,10000,248.05,45336,33305
1394,Fully Paid,7.02,FL,9,19,6,4500,4504.48,40000,9827
1395,Fully Paid,16.91,NY,5,11,10,20000,20293.34,89000,10878
1396,Fully Paid,16.14,KY,2,7,5,12000,12172.04,53000,16621
1397,Charged Off,10.33,TN,7,17,1,11200,0,71000,6250
1398,Charged Off,18.94,MN,8,13,5,15075,390.56,140000,38123
1399,Fully Paid,10.72,NV,7,21,8,10000,9850.48,100000,14541
1400,Fully Paid,11.8,NJ,4,8,4,10000,10016.88,46000,1329
1401,Charged Off,10.72,NY,1,3,5,24500,838.8,139000,7994
1402,Charged Off,13.56,TX,10,17,3,30000,917.23,24000,18459
1403,Charged Off,15.02,CA,4,6,10,8400,291.28,50000,24069
1404,Fully Paid,16.91,TX,7,10,1,9600,9622.55,28000,1419
1405,Fully Paid,16.14,UT,6,7,2,10000,10253.67,40000,5067
1406,Fully Paid,12.98,CA,5,6,5,1900,1914.39,155000,8873
1407,Charged Off,16.91,CA,3,4,1,6000,213.65,35000,2533
1408,Fully Paid,10.72,CO,3,8,5,36000,34663.9,115000,48256
1409,Fully Paid,15.02,NY,8,16,1,25000,25166.89,75000,15915
1410,Fully Paid,23.4,FL,3,6,2,25000,25273.59,72000,28366
1411,Fully Paid,16.14,MA,5,19,10,10800,129.12,70000,14261
1412,Charged Off,19.92,FL,6,12,6,10000,371.23,33000,750
1413,Fully Paid,12.98,OR,6,10,10,20000,20194.7,95000,4699
1414,Charged Off,15.02,UT,4,4,10,10000,0,84350,1255
1415,Charged Off,11.8,MI,2,9,4,20000,442.88,90000,27633
1416,Charged Off,26.31,IL,7,13,3,15000,607,80000,12446
1417,Fully Paid,18.94,TX,4,9,10,4800,2670.88,90000,20039
1418,Fully Paid,15.02,IL,8,13,2,6500,6522.51,35000,1739
1419,Fully Paid,6.46,OK,4,9,3,2200,8.69,44928,12791
1420,Fully Paid,17.97,FL,1,1,1,10000,2187.9,21000,465
1421,Charged Off,18.94,TX,8,10,10,10000,366.26,63300,17534
1422,Fully Paid,17.97,CA,1,3,7,3500,3490.6,90000,14900
1423,Fully Paid,20.89,CA,3,11,3,12000,12270.97,20082,21063
1424,Fully Paid,16.91,LA,5,11,2,10000,10029.03,60000,1271
1425,Fully Paid,18.94,NJ,4,10,2,15000,15082.48,85000,22229
1426,Charged Off,10.33,TX,1,2,10,8000,0,94000,13694
1427,Fully Paid,17.97,NC,10,17,10,30000,30731.28,110000,12937
1428,Charged Off,23.4,TX,8,17,5,10000,389.19,64000,24402
1429,Fully Paid,10.33,IN,3,6,8,7000,7087.71,65000,36869
1430,Fully Paid,11.8,NY,4,11,3,1200,1212.57,70000,132
1431,Charged Off,24.37,FL,3,11,5,9000,354.85,40000,2176
1432,Charged Off,27.27,WA,2,5,10,14000,429.76,45000,15330
1433,Fully Paid,8.81,TX,8,10,10,10000,9858.18,85000,16632
1434,Fully Paid,12.98,FL,3,3,4,35000,35092.14,165000,8873
1435,Charged Off,13.56,CT,12,19,4,6000,203.79,175000,5287
1436,Fully Paid,26.31,MD,1,4,8,1000,1037.71,30000,742
1437,Fully Paid,16.14,CT,4,7,5,7200,7296.84,85000,904
1438,Charged Off,7.02,OH,5,16,3,9800,0,71000,10420
1439,Fully Paid,11.8,CA,5,6,10,10000,10040.15,82000,2941
1440,Fully Paid,17.97,PA,6,12,10,2600,16.51,55000,2986
1441,Fully Paid,11.31,PA,4,10,4,17000,16884.86,134500,12029
1442,Charged Off,6.46,CA,5,12,10,10000,0,162000,6353
1443,Fully Paid,17.97,VA,6,9,1,24000,24385.04,162000,5776
1444,Charged Off,10.72,TX,3,6,6,10500,0,86899,24519
1445,Fully Paid,7.56,MI,3,8,10,32000,32034.61,87000,8092
1446,Fully Paid,16.14,WA,2,6,1,4400,4406.51,68000,6334
1447,Fully Paid,8.19,NV,6,15,6,15000,690.97,75000,22889
1448,Fully Paid,12.98,NY,3,13,10,3000,3046.34,75000,11989
1449,Charged Off,14.47,NV,8,12,8,11000,378.47,120000,2340
1450,Fully Paid,18.94,MD,8,15,10,30000,29252.3,115000,9173
1451,Fully Paid,7.56,NY,2,6,9,7000,323.1,24000,3624
1452,Fully Paid,11.31,OR,3,5,1,11000,11154.3,39600,1443
1453,Fully Paid,16.14,IN,4,20,10,12000,6418.44,65000,5141
1454,Fully Paid,15.02,MI,11,10,10,17000,17132.85,100000,4351
1455,Fully Paid,11.8,CT,5,24,4,12000,6418.44,67000,11026
1456,Fully Paid,13.56,CA,5,9,3,2000,2011.51,30000,854
1457,Fully Paid,10.33,RI,2,6,5,5500,5513.19,40000,44839
1458,Fully Paid,16.91,IL,4,9,10,8400,8369.05,65000,15036
1459,Charged Off,18.94,CT,5,10,2,30000,1098.78,145000,3089
1460,Fully Paid,11.8,OR,6,16,10,25000,25367.24,100000,21138
1461,Fully Paid,14.47,CA,5,14,3,10000,10024.29,73000,6139
1462,Charged Off,25.34,SC,2,5,10,12000,1597.6,130000,8873
1463,Charged Off,15.02,TX,3,7,6,15000,520.13,126000,7735
1464,Charged Off,16.14,MO,2,3,3,5000,176.14,10000,2414
1465,Charged Off,12.98,MO,7,7,6,10000,336.85,80000,0
1466,Fully Paid,16.14,PA,4,7,6,1325,76.2,47000,4169
1467,Charged Off,20.89,TX,5,8,4,8000,0,69700,5679
1468,Fully Paid,8.19,OH,1,6,2,2200,1516.59,31000,213
1469,Fully Paid,19.92,AZ,3,7,2,2300,2345.66,80000,41236
1470,Charged Off,8.81,CA,2,8,10,8000,0,69000,77
1471,Fully Paid,16.14,MD,11,12,2,18000,1.79,55000,3652
1472,Fully Paid,6.46,GA,4,15,10,22000,21060.06,175000,25614
1473,Charged Off,7.02,GA,0,7,10,8000,0,69000,22211
1474,Fully Paid,16.14,MI,2,5,10,12000,6418.44,120000,2420
1475,Fully Paid,14.47,VA,6,12,1,20500,20284.95,55000,9578
1476,Fully Paid,8.19,KY,1,4,1,1000,984.65,166000,8873
1477,Fully Paid,23.4,IL,5,11,6,10000,10046.67,12504,629
1478,Charged Off,20.89,CA,13,16,1,16000,431.87,90000,6294
1479,Charged Off,12.98,LA,6,10,5,16000,0,100000,10295
1480,Charged Off,7.56,CA,2,3,5,10000,311.34,72000,8873
1481,Fully Paid,7.56,NY,5,7,10,3000,3015.12,50000,35169
1482,Charged Off,7.56,TX,4,15,10,12000,0,71000,4316
1483,Fully Paid,12.98,FL,3,8,1,5075,5081.04,50000,11663
1484,Fully Paid,10.72,TX,4,10,1,16500,16370.29,140000,39184
1485,Fully Paid,16.14,WI,3,7,1,4200,4298.86,40000,19321
1486,Charged Off,8.19,UT,5,9,10,3000,75,120000,36558
1487,Fully Paid,12.98,CA,5,15,2,10000,39.48,72000,2205
1488,Charged Off,7.02,NJ,9,10,10,15000,463.3,72000,18180
1489,Fully Paid,16.91,NY,4,8,5,30000,30046.5,39000,48
1490,Fully Paid,15.02,CO,4,10,10,10000,10013.77,99200,1614
1491,Fully Paid,13.56,UT,4,10,2,5000,5017.63,23000,8048
1492,Fully Paid,18.94,OH,7,9,10,15500,15737.01,70000,3466
1493,Fully Paid,7.56,MD,4,14,4,27000,27034.7,96800,5680
1494,Charged Off,8.19,TN,1,9,1,20000,19181.35,10000,7077
1495,Charged Off,14.47,MO,5,7,2,10000,0,156000,6410
1496,Charged Off,23.4,VA,11,14,9,28500,0,100000,17343
1497,Charged Off,7.56,CA,6,13,1,10000,0,72000,35192
1498,Fully Paid,10.72,NV,4,9,3,37875,6418.44,125000,8873
1499,Fully Paid,16.91,MD,1,16,1,20000,20064.56,77275,11252
1500,Fully Paid,11.8,NM,12,19,7,35000,33722.03,138000,13704
1501,Charged Off,23.4,NC,7,11,6,4700,182.92,40000,1074
1502,Charged Off,10.72,NY,3,6,3,15000,0,71000,8130
1503,Fully Paid,7.56,TX,2,7,6,15500,15510.58,11500,294
1504,Charged Off,13.56,CA,1,3,3,10000,0,65000,315
1505,Fully Paid,16.91,SC,2,7,1,22000,22034.1,45000,31191
1506,Charged Off,7.56,CA,13,20,10,10000,0,72000,11777
1507,Charged Off,25.34,CA,9,13,10,4000,165.4,60000,25441
1508,Fully Paid,16.14,TX,0,1,6,5500,5508.14,30000,44832
1509,Charged Off,7.56,CA,1,6,1,10000,0,72000,43449
1510,Charged Off,18.94,MO,4,6,1,10000,366.26,18000,4546
1511,Charged Off,18.94,MI,1,2,1,11000,284.99,50000,521
1512,Charged Off,20.89,CA,4,7,10,35000,1188.43,170000,8873
1513,Fully Paid,13.56,MA,6,16,10,25000,25151.16,130000,21800
1514,Fully Paid,7.02,RI,10,23,1,2325,252.85,115000,12141
1515,Fully Paid,19.92,OR,6,9,1,12000,12251.23,62000,2173
1516,Fully Paid,11.8,CA,3,6,7,16000,16307.55,77000,2914
1517,Fully Paid,16.14,CA,7,15,10,25000,25224.17,110000,4774
1518,Fully Paid,14.47,SC,1,11,3,5200,220.57,92500,19497
1519,Fully Paid,20.89,SC,5,12,2,14350,14377.48,48000,17377
1520,Fully Paid,11.8,IL,7,14,10,20000,20091.78,108000,12037
1521,Fully Paid,20.89,FL,9,22,10,20225,58.68,72000,14488
1522,Charged Off,20.89,VA,4,10,1,25000,940.47,75000,6286
1523,Fully Paid,7.02,NY,1,4,10,8000,3705.23,120000,1762
1524,Fully Paid,8.81,CA,3,6,6,7000,7059.75,67000,8873
1525,Fully Paid,14.47,NY,4,11,2,5000,5119.24,70000,1484
1526,Fully Paid,11.31,WI,4,19,10,18000,18018.66,120000,22214
1527,Charged Off,12.98,WA,3,6,2,12000,909.72,90000,4878
1528,Fully Paid,7.56,GA,7,18,6,16000,15785.76,50000,3388
1529,Fully Paid,11.31,GA,2,12,5,6650,6685.52,58000,1525
1530,Fully Paid,19.92,AZ,12,10,7,15000,116.2,72000,18420
1531,Fully Paid,16.14,NJ,1,12,10,35000,36044.91,84536,22683
1532,Charged Off,14.47,CA,1,11,3,20000,470.26,85000,710
1533,Fully Paid,19.92,LA,2,7,5,4000,4028.77,50000,21479
1534,Fully Paid,17.97,WV,8,11,10,20000,30.5,104736,23020
1535,Fully Paid,11.8,OR,0,9,10,8000,7235.67,67000,540
1536,Fully Paid,16.14,NJ,8,13,10,21000,21031.07,84000,18876
1537,Fully Paid,8.19,MI,6,17,7,16000,0.3,75000,7578
1538,Fully Paid,11.8,MN,7,7,10,5000,5095.59,56000,1136
1539,Fully Paid,15.02,OH,6,10,1,16000,16093.46,167000,2230
1540,Charged Off,10.33,TX,1,5,1,10000,0,72000,1140
1541,Charged Off,11.31,PA,4,16,2,20000,657.72,78000,13174
1542,Fully Paid,11.8,CA,6,11,6,10000,10063.52,110000,4285
1543,Fully Paid,22.35,GA,5,9,2,16000,16130.92,73000,35435
1544,Fully Paid,8.81,OH,3,8,7,8000,359.91,150000,25134
1545,Fully Paid,27.27,MN,1,4,1,8500,88.49,57500,23449
1546,Fully Paid,11.8,AZ,4,18,10,25000,25026.63,80000,22925
1547,Fully Paid,19.92,CA,4,11,6,25000,765.36,25102.08,2796
1548,Fully Paid,11.31,CA,12,14,10,5000,5093.14,74000,1461
1549,Fully Paid,15.02,TX,6,9,10,11000,36.41,36000,237
1550,Fully Paid,7.02,CO,1,5,7,6000,6035.1,100000,984
1551,Fully Paid,12.98,ID,8,14,9,13000,13314.66,66446,12478
1552,Fully Paid,27.27,FL,7,19,3,28000,3.03,85000,14982
1553,Fully Paid,23.4,WA,6,16,1,10000,10375.38,85000,1328
1554,Fully Paid,16.91,VA,5,9,2,7000,7140.47,67647,8432
1555,Fully Paid,8.81,NY,3,21,7,2000,2021.37,62000,7217
1556,Fully Paid,20.89,FL,2,4,5,1650,1662.45,38000,3077
1557,Charged Off,11.8,NY,5,10,1,20000,442.88,160000,14501
1558,Charged Off,12.98,NY,9,24,10,35000,0,92300,412
1559,Fully Paid,16.14,NC,5,12,1,36800,37653.96,65000,4903
1560,Fully Paid,18.94,NJ,0,12,6,1000,3.14,26664,2460
1561,Fully Paid,13.56,AZ,4,10,7,25000,25181.77,79500,19722
1562,Fully Paid,23.4,CA,5,9,1,6000,6095.63,47000,2631
1563,Fully Paid,15.02,UT,3,10,9,4000,4023.36,51000,16601
1564,Fully Paid,22.35,WA,3,7,1,8000,8016.39,84000,3877
1565,Fully Paid,6.46,SC,4,9,5,10000,10084.07,53000,2260
1566,Fully Paid,23.4,IL,3,15,6,2150,2224.81,73647.97,24151
1567,Charged Off,20.89,GA,6,16,10,35000,944.71,72000,4068
1568,Fully Paid,20.89,CA,3,6,1,30000,30673.61,65000,43775
1569,Fully Paid,23.4,WA,5,6,3,12000,6418.44,64000,10671
1570,Fully Paid,16.91,OH,1,2,6,10000,10048.54,0,8873
1571,Charged Off,23.4,MO,7,19,7,25000,972.97,145000,18862
1572,Charged Off,16.91,KY,3,9,1,8000,284.87,26000,1237
1573,Charged Off,17.97,FL,2,9,1,27775,1003.72,72000,3585
1574,Charged Off,15.02,NC,6,11,6,8000,297.44,25860,5012
1575,Fully Paid,6.46,MD,9,14,6,18000,18009.85,62716,19895
1576,Fully Paid,15.02,UT,3,11,6,3000,2991.76,55000,1106
1577,Charged Off,24.37,FL,5,9,10,15000,620.99,72000,9548
1578,Fully Paid,11.31,MO,3,12,4,4000,7.35,27705,2614
1579,Fully Paid,12.98,FL,5,10,10,25000,25028.39,70400,17493
1580,Fully Paid,19.92,FL,8,10,2,8400,8386.46,90000,8889
1581,Charged Off,7.02,UT,0,4,10,26000,803.05,78000,46345
1582,Fully Paid,14.47,PA,4,8,6,2000,1934.62,11000,141
1583,Fully Paid,12.98,NY,2,2,6,2525,2575.44,17000,177
1584,Fully Paid,10.33,GA,7,13,6,6900,6801.2,25387,1563
1585,Charged Off,12.98,MD,4,7,10,12000,909.72,65000,3451
1586,Charged Off,10.33,WA,4,9,10,1000,0,67546,22953
1587,Fully Paid,12.98,NC,7,13,10,30000,28970.36,101000,8959
1588,Fully Paid,16.14,TX,6,13,1,12000,737.44,125000,7180
1589,Fully Paid,10.72,OK,5,11,10,15000,15208.14,71000,18007
1590,Fully Paid,18.94,IL,2,11,6,3000,3062.48,20000,60
1591,Charged Off,16.14,MN,2,7,10,10000,352.27,137000,14093
1592,Charged Off,17.97,TX,3,8,1,23000,802.37,40500,6535
1593,Fully Paid,7.56,MN,2,13,10,24000,24016.38,172000,28071
1594,Fully Paid,18.94,IL,7,13,10,20000,20243.97,52000,6101
1595,Fully Paid,8.81,CO,3,12,5,35000,35027.84,131500,8873
1596,Fully Paid,10.72,IN,8,19,10,6700,6781.28,92000,9544
1597,Charged Off,16.14,CA,8,22,1,7000,246.59,80000,12183
1598,Fully Paid,22.35,NJ,6,12,6,5500,5602.47,80000,4264
1599,Fully Paid,20.89,FL,2,3,1,10000,7255.37,25000,155
1600,Fully Paid,20.89,MD,4,7,6,34175,34299.94,72000,47650
1601,Charged Off,8.19,IL,1,5,3,5000,157.13,150000,16237
1602,Fully Paid,6.46,CA,3,13,1,12000,6418.44,72000,8873
1603,Fully Paid,10.33,CA,4,8,10,10000,10015.15,72000,8873
1604,Charged Off,8.81,FL,4,18,3,8000,0,69000,2618
1605,Fully Paid,18.94,ID,7,11,5,20000,20034.72,102000,5613
1606,Fully Paid,23.4,CA,3,4,6,5500,5706.45,40536,925
1607,Fully Paid,10.72,NY,3,4,1,10000,10164.92,50000,2730
1608,Fully Paid,6.46,CT,1,7,6,6100,6106.73,20676,1552
1609,Fully Paid,16.91,MN,5,7,1,30000,29170.19,1900,7535
1610,Charged Off,16.14,WI,9,15,6,10000,243.93,67000,2049
1611,Fully Paid,7.02,TN,5,17,10,4000,4.3,45000,5228
1612,Charged Off,7.02,CA,2,17,5,24000,778.33,120000,33893
1613,Fully Paid,26.31,KS,5,15,1,27725,27852.65,85000,12005
1614,Charged Off,16.14,CO,7,15,10,20000,487.86,75675,23316
1615,Fully Paid,17.97,MN,3,8,5,20000,20062.89,72000,1898
1616,Fully Paid,16.91,TX,6,18,1,15400,15527.25,70000,11464
1617,Fully Paid,13.56,IL,1,5,10,10000,10209.78,100000,42643
1618,Fully Paid,12.98,VA,5,14,6,15000,15028.02,30000,21988
1619,Fully Paid,8.19,WA,7,12,10,18000,17704.29,50000,10870
1620,Fully Paid,7.02,NM,1,14,10,6000,5900.67,95000,2070
1621,Fully Paid,14.47,MA,7,12,1,8000,7753.37,67000,23170
1622,Fully Paid,19.92,AL,1,8,6,1675,1715.3,15300,1225
1623,Fully Paid,6.46,TX,2,16,4,8500,8357.5,102000,14520
1624,Charged Off,16.14,HI,3,6,5,24000,0,72000,13326
1625,Fully Paid,11.8,NJ,4,13,10,12000,10132.56,72000,8873
1626,Charged Off,19.92,LA,3,7,6,19925,739.68,43332,3075
1627,Fully Paid,17.97,CO,5,9,10,17000,17475.21,41000,2302
1628,Fully Paid,23.4,AL,6,13,5,12000,6418.44,45000,22875
1629,Charged Off,8.19,TX,3,8,2,10000,0,72000,27017
1630,Fully Paid,19.92,MN,6,12,3,25000,25327.37,52000,17633
